gene,importance,p_value,rank_by_importance,is_known,high_group_size,low_group_size,significant
ZNF131,0.0,0.9113789646638812,8296,False,91,92,NO
ST7,0.0,0.6770764006048334,8297,False,91,92,NO
TXN2,0.0,0.41122380647919743,8298,False,91,92,NO
AGAP1,0.0,0.5327093053538875,8299,False,91,92,NO
AGAP2,0.0,0.14912568436502693,8300,False,91,92,NO
AGAP3,0.0,0.7573534610968226,8301,False,91,92,NO
AGAP4,0.0,0.02768545015595413,8302,False,91,92,YES
AGAP6,0.0,0.03481215609635382,8304,False,91,92,YES
AGAP7,0.0,0.0010768963995430477,8305,False,91,92,YES
AGAP8,0.0,0.6037162680226422,8306,False,91,92,NO
TMEM2,0.0,0.5949306386642261,8307,False,91,92,NO
TSPO,0.0,0.33104986965707894,8308,False,91,92,NO
TMEM5,0.0,0.9932110871061574,8309,False,91,92,NO
RANBP6,0.0,0.4850510032047066,8311,False,91,92,NO
PDCL2,0.0,0.7611574943809488,8312,False,49,134,NO
ARNT,0.0,0.22427763789377891,8313,False,91,92,NO
LYRM4,0.0,0.9656110986594072,8314,False,91,92,NO
TLR2,0.0,0.8571359854225622,8315,False,91,92,NO
CCL4L2,0.0,0.3774609525756014,8316,False,91,92,NO
CADM3,0.0,0.5838248106494699,8317,False,91,92,NO
GDPD2,0.0,0.26912183560563663,8318,False,91,92,NO
GDPD3,0.0,0.9211271953224726,8319,False,91,92,NO
GDPD1,0.0,0.11684704294885517,8321,False,90,93,NO
GDPD4,0.0,0.5372808008240941,8322,False,91,92,NO
GDPD5,0.0,0.5340621470893923,8323,False,91,92,NO
SLAMF7,0.0,0.2754682207359579,8324,False,91,92,NO
SLAMF6,0.0,0.27312114795804204,8325,False,91,92,NO
KCNRG,0.0,0.6019108842564913,8326,False,91,92,NO
SLAMF1,0.0,0.5963935377975703,8327,False,91,92,NO
CN5H6.4,0.0,0.0019621519472969207,8328,False,91,92,YES
KRTAP5-4,0.0,0.9469365608617119,8329,False,87,96,NO
TGFB2,0.0,0.049327364927425434,8330,False,91,92,YES
TBCEL,0.0,0.94276783058001,8331,False,91,92,NO
C17orf99,0.0,0.24415622975917536,8332,False,91,92,NO
C17orf98,0.0,0.19043798361275224,8333,False,62,121,NO
KRTAP5-5,0.0,0.5977647704387312,8334,False,91,92,NO
C17orf95,0.0,0.7358243666792663,8335,False,91,92,NO
OSGEPL1,0.0,0.9127093081551467,8336,False,91,92,NO
C17orf97,0.0,0.9288148878113333,8337,False,91,92,NO
C17orf96,0.0,0.156365784240957,8338,False,91,92,NO
C17orf91,0.0,0.2757044682679609,8339,False,91,92,NO
C17orf90,0.0,0.08945031736116135,8340,False,91,92,NO
C17orf93,0.0,0.782394294619537,8341,False,91,92,NO
LOH12CR2,0.0,0.259117153682175,8342,False,91,92,NO
TMEM132D,0.0,0.07271063626345356,8344,False,91,92,NO
HOXD4,0.0,0.11609236793539436,8345,False,91,92,NO
F13A1,0.0,0.28451103207503814,8346,False,91,92,NO
FKRP,0.0,0.022097498405170016,8348,False,91,92,YES
GBAP1,0.0,0.19291516994189106,8349,False,91,92,NO
LPHN2,0.0,0.6608570585344156,8350,False,91,92,NO
HDGFRP2,0.0,0.17590041026499953,8351,False,91,92,NO
HDGFRP3,0.0,0.2566842187948608,8352,False,91,92,NO
DEFB104A,0.0,,8354,False,0,183,NA
C6orf106,0.0,0.14229942674538582,8355,False,91,92,NO
C6orf105,0.0,0.7260759159432025,8356,False,91,92,NO
KRTAP5-3,0.0,0.22802543508697315,8357,False,13,170,NO
C6orf103,0.0,0.15067016657121865,8358,False,70,113,NO
OR5F1,0.0,,8359,False,0,183,NA
ETS2,0.0,0.9077480765024399,8360,False,91,92,NO
YWHAH,0.0,0.11898318390217971,8361,False,91,92,NO
ETS1,0.0,0.0641402902224394,8362,False,91,92,NO
SHPK,0.0,0.8242756819393994,8363,False,91,92,NO
LOC100302650,0.0,0.16455907464086938,8364,False,91,92,NO
PRR5-ARHGAP8,0.0,0.6325186137945547,8365,False,91,92,NO
YWHAB,0.0,0.12699489841062866,8366,False,91,92,NO
FCRL1,0.0,0.5787122563946882,8367,False,91,92,NO
FCRL3,0.0,0.23161233455042377,8369,False,91,92,NO
AQP10,0.0,0.9812124285209525,8370,False,91,92,NO
FCRL6,0.0,0.41824344950894476,8372,False,91,92,NO
YWHAE,0.0,0.589545229580461,8373,False,91,92,NO
ZDHHC24,0.0,0.19447388426047424,8374,False,91,92,NO
SEC61G,0.0,0.6633211993368928,8375,False,91,92,NO
LOC100134259,0.0,0.9001250142808765,8376,False,91,92,NO
STAT5A,0.0,0.9556556611692859,8377,False,91,92,NO
FCRLA,0.0,0.15409797837976902,8378,False,91,92,NO
